index,filename,time,temperature_K,pressure_GPa,cluster,PC1,PC2
197,seq_0195,2022-07-31 13:55:14,300.15,9.0,3,49.092003,-16.935108
198,seq_0196,2022-07-31 13:56:14,300.15,8.98,3,49.407913,-17.685331
199,seq_0197,2022-07-31 13:57:14,300.15,8.91,3,47.285652,-16.993793
200,seq_0198,2022-07-31 13:58:14,300.15,8.83,3,48.177944,-17.51876
201,seq_0199,2022-07-31 13:59:14,300.15,8.76,3,49.604973,-17.442032
202,seq_0200,2022-07-31 14:00:14,300.15,8.68,3,48.439053,-16.117313
203,seq_0201,2022-07-31 14:01:13,300.15,8.61,3,48.87107,-16.323112
204,seq_0202,2022-07-31 14:02:14,300.15,8.53,3,49.334457,-14.696754
205,seq_0203,2022-07-31 14:03:14,300.15,8.46,3,49.99042,-14.779742
206,seq_0204,2022-07-31 14:04:13,300.15,8.38,3,49.59726,-13.560791
207,seq_0205,2022-07-31 14:05:14,300.15,8.31,3,50.23707,-12.102005
208,seq_0206,2022-07-31 14:06:14,300.15,8.23,3,48.734913,-10.164456
209,seq_0207,2022-07-31 14:07:14,300.15,8.16,3,47.808372,-8.488115
210,seq_0208,2022-07-31 14:08:14,300.15,8.08,3,47.519024,-6.2068243
211,seq_0209,2022-07-31 14:09:14,300.15,8.01,3,44.916634,-5.193516
212,seq_0210,2022-07-31 14:10:14,300.15,7.93,3,43.32191,-3.3119416
213,seq_0211,2022-07-31 14:11:14,300.15,7.86,3,40.650574,-0.84981304
214,seq_0212,2022-07-31 14:12:14,300.15,7.78,3,39.98924,-0.41773996
215,seq_0213,2022-07-31 14:13:14,300.15,7.71,3,37.809433,1.8820833
216,seq_0214,2022-07-31 14:14:14,300.15,7.63,3,37.465103,3.217019
217,seq_0215,2022-07-31 14:15:14,300.15,7.56,3,34.844086,4.8086753
218,seq_0216,2022-07-31 14:16:13,300.15,7.48,3,33.712204,5.3424344
219,seq_0217,2022-07-31 14:17:14,300.15,7.41,3,31.403318,6.226499
220,seq_0218,2022-07-31 14:18:13,300.15,7.33,3,31.19396,6.349776
221,seq_0219,2022-07-31 14:19:14,300.15,7.26,3,28.995924,9.1733465
222,seq_0220,2022-07-31 14:20:13,300.15,7.18,3,27.597797,9.197858
223,seq_0221,2022-07-31 14:21:14,300.15,7.11,3,26.289198,10.264871
224,seq_0222,2022-07-31 14:22:14,300.15,7.03,1,24.336084,11.056179
225,seq_0223,2022-07-31 14:23:13,300.15,6.96,1,24.031988,11.6815605
226,seq_0224,2022-07-31 14:24:14,300.15,6.88,1,22.41907,12.100825
227,seq_0225,2022-07-31 14:25:14,300.15,6.81,1,23.086388,13.301713
228,seq_0226,2022-07-31 14:26:14,300.15,6.73,1,20.713182,13.405238
229,seq_0227,2022-07-31 14:27:14,300.15,6.66,1,19.973192,14.2108
230,seq_0228,2022-07-31 14:28:13,300.15,6.58,1,19.422796,13.773223
231,seq_0229,2022-07-31 14:29:13,300.15,6.51,1,18.40621,14.958044
232,seq_0230,2022-07-31 14:30:13,300.15,6.43,1,17.708569,16.040821
233,seq_0231,2022-07-31 14:31:14,300.15,6.36,1,16.853378,15.354827
